PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.1899676,0.9028662,0.0507356,359.4384,272.5084,6.212179,08/08/2024 11:59:55
0.186322,0.901955,0.05438045,359.6436,273.3499,6.3317,08/08/2024 11:59:55
0.181911,0.9006835,0.05663454,359.6641,273.3034,5.700973,08/08/2024 11:59:55
0.1794268,0.9000037,0.0577884,359.6846,273.2399,5.386047,08/08/2024 11:59:55
0.178662,0.8994603,0.05816133,359.5718,273.0049,4.821132,08/08/2024 11:59:55
0.177891,0.8985406,0.05880328,359.6888,272.805,4.180267,08/08/2024 11:59:55
0.1773389,0.8961854,0.06074056,0.212648,272.7632,2.49719,08/08/2024 11:59:55
0.1767214,0.8946365,0.06193874,0.7808537,272.7461,1.461821,08/08/2024 11:59:55
0.1764408,0.8949301,0.06241261,0.715323,272.6751,1.323818,08/08/2024 11:59:55
0.1764408,0.8949301,0.06241261,0.715323,272.6751,1.323818,08/08/2024 11:59:55
0.1761663,0.8949723,0.06296421,0.5116504,272.6009,1.224837,08/08/2024 11:59:55
0.1758186,0.8942891,0.06394458,359.9612,272.4726,1.0852,08/08/2024 11:59:56
0.1754111,0.8930279,0.06498991,359.5921,272.3666,0.8119475,08/08/2024 11:59:56
0.1752914,0.8925161,0.06567223,359.433,272.4286,0.6100901,08/08/2024 11:59:56
0.1751101,0.8919217,0.06631258,359.2852,272.4684,0.3935698,08/08/2024 11:59:56
0.1748651,0.8917148,0.06676329,359.2553,272.5154,0.1132344,08/08/2024 11:59:56
0.1744592,0.8914654,0.06718958,359.1942,272.5641,359.8058,08/08/2024 11:59:56
0.1736411,0.8911459,0.06859604,359.1303,272.7032,359.3694,08/08/2024 11:59:56
0.1729741,0.891171,0.06887681,359.2839,272.593,359.657,08/08/2024 11:59:56
0.1722668,0.8914923,0.06879072,359.408,272.3184,0.1268436,08/08/2024 11:59:56
0.1722668,0.8914923,0.06879072,359.408,272.3184,0.1268436,08/08/2024 11:59:56
0.1717413,0.8916867,0.06847534,359.4323,272.0533,0.4084795,08/08/2024 11:59:56
0.1714713,0.8917518,0.06826938,359.4162,271.9037,0.5128417,08/08/2024 11:59:56
0.1713971,0.8919364,0.0680943,359.3274,271.7248,0.6439989,08/08/2024 11:59:56
0.1713754,0.892006,0.06802633,359.2905,271.6443,0.7017139,08/08/2024 11:59:56
0.17112,0.8916163,0.06784805,359.2725,271.4512,0.5648825,08/08/2024 11:59:56
0.1709525,0.8910286,0.06784826,359.3749,271.3898,0.3653569,08/08/2024 11:59:56
0.1706634,0.8899772,0.06814162,359.8163,271.3811,359.8847,08/08/2024 11:59:56
0.1705389,0.8895379,0.06828667,0.02323151,271.3749,359.6727,08/08/2024 11:59:56
0.1703442,0.8893079,0.06815469,0.08110747,271.2707,359.5375,08/08/2024 11:59:56
0.1693824,0.8888518,0.06749579,0.4075581,270.6411,359.0861,08/08/2024 11:59:56
0.1692147,0.8887873,0.06742152,0.4676491,270.5273,359.0026,08/08/2024 11:59:56
0.1690708,0.8884085,0.06751189,0.5689189,270.4307,358.8131,08/08/2024 11:59:56
0.1687135,0.8869207,0.06827529,1.237213,270.2366,358.449,08/08/2024 11:59:56
0.1686178,0.8861081,0.06861528,1.627971,270.1632,358.3355,08/08/2024 11:59:56
0.1685769,0.8852638,0.06874468,2.013301,270.0829,358.2254,08/08/2024 11:59:56
0.1687222,0.8844438,0.06910731,2.452935,270.151,358.3267,08/08/2024 11:59:56
0.1688606,0.8836161,0.06938522,2.850545,270.1716,358.3582,08/08/2024 11:59:56
0.1689633,0.8845222,0.06957425,2.7032,270.0884,358.4286,08/08/2024 11:59:56
0.168986,0.8852988,0.06986991,2.496383,269.9865,358.5474,08/08/2024 11:59:56
0.1690216,0.8862119,0.07006197,2.028332,269.8165,358.6599,08/08/2024 11:59:56
0.1691816,0.8870968,0.07016646,1.620708,269.6739,358.7881,08/08/2024 11:59:57
